"Nome comercial","Nome da oportunidade","Telefone principal","Instagram","Segmento","Fonte","Tags","Dor provavel","Gancho - Abordagem","Observacoes"
"Guto Auto Peças","NUC x Guto Auto Peças","+55 24 3321-3969","https://www.google.com/search?q=Guto+Auto+Pe%C3%A7as+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a Guto Auto Peças e referencia em auto pecas em Resende com 601 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: Guto Auto Peças | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.5 (601 avaliacoes) | Categorias: Loja de autopeças | Endereco: Av. Rui Barbosa, 270 - Liberdade, Resende - RJ, 27521-190, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"NAFIL Auto Peças","NUC x NAFIL Auto Peças","+55 24 2108-0600","https://www.google.com/search?q=NAFIL+Auto+Pe%C3%A7as+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a NAFIL Auto Peças e referencia em auto pecas em Resende com 541 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: NAFIL Auto Peças | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.3 (541 avaliacoes) | Categorias: Loja de autopeças | Endereco: R. Padre José Sandrup, 521 - Vila Julieta, Resende - RJ, 27520-261, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Rodar Pneus Auto Center - Pneus Multimarcas","NUC x Rodar Pneus Auto Center - Pneus Multimarcas","+55 24 3354-6146","https://www.google.com/search?q=Rodar+Pneus+Auto+Center+-+Pneus+Multimarcas+Resende+instagram","Automotivo - Auto Center","Prospeccao Ativa","Resende","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Rodar Pneus Auto Center - Pneus Multimarcas ja e referencia em Resende com 418 avaliacoes. Imagine atrair clientes de toda a regiao Sul Fluminense com uma estrategia digital que mostre seus diferenciais - quero apresentar como fazemos isso.","Empresa: Rodar Pneus Auto Center - Pneus Multimarcas | Cidade: Resende | Tipo: Auto Center | Nota Google: 4.6 (418 avaliacoes) | Categorias: Mecânica para carros | Endereco: Próximo ao Resende Shopping - Av. João Ferreira Pinto, 46 - Lj 54 e - Comercial, Resende - RJ, 27510-071, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Volscap Auto Center Resende","NUC x Volscap Auto Center Resende","+55 24 99812-1143","https://www.google.com/search?q=Volscap+Auto+Center+Resende+Resende+instagram","Automotivo - Auto Center","Prospeccao Ativa","Resende","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Volscap Auto Center Resende e um auto center bem avaliado em Resende (322 avaliacoes). Auto centers que investem em marketing digital atraem clientes de cidades vizinhas e fidelizam com agendamento online. Quero apresentar como funciona.","Empresa: Volscap Auto Center Resende | Cidade: Resende | Tipo: Auto Center | Nota Google: 4.5 (322 avaliacoes) | Categorias: Oficina mecânica, Loja de vidros automotivos, Mecânica para carros | Endereco: Av. Gal. Afonseca - Manejo, Resende - RJ, 27520-174, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Pneus 56 Auto Center em Resende","NUC x Pneus 56 Auto Center em Resende","+55 24 3355-1186","https://www.google.com/search?q=Pneus+56+Auto+Center+em+Resende+Resende+instagram","Automotivo - Auto Center","Prospeccao Ativa","Resende","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Pneus 56 Auto Center em Resende e um auto center bem avaliado em Resende (221 avaliacoes). Auto centers que investem em marketing digital atraem clientes de cidades vizinhas e fidelizam com agendamento online. Quero apresentar como funciona.","Empresa: Pneus 56 Auto Center em Resende | Cidade: Resende | Tipo: Auto Center | Nota Google: 4.2 (221 avaliacoes) | Categorias: Oficina mecânica, Autoelétrico, Loja de autopeças, Loja de rodas | Endereco: Av. Riachuelo, 56 (24 - 99964-5771 - Liberdade, Resende - RJ, 27521-172, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"J P Escapamentos e Acessórios Ltda","NUC x J P Escapamentos e Acessórios Ltda","+55 24 3354-7346","https://www.google.com/search?q=J+P+Escapamentos+e+Acess%C3%B3rios+Ltda+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Pesquisando auto pecas em Resende, a J P Escapamentos e Acessórios Ltda se destacou. O consumidor de hoje pesquisa no Google antes de comprar peca - quem aparece primeiro vende mais. Quero mostrar como colocar voces nessa posicao.","Empresa: J P Escapamentos e Acessórios Ltda | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.5 (157 avaliacoes) | Categorias: Loja de autopeças | Endereco: Zap (24 - 93300.5995 - Vila Julieta, Resende - RJ, 27520-230, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Duarte Auto Peças Usadas","NUC x Duarte Auto Peças Usadas","+55 24 99850-1975","https://www.google.com/search?q=Duarte+Auto+Pe%C3%A7as+Usadas+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a Duarte Auto Peças Usadas e referencia em auto pecas em Resende com 117 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: Duarte Auto Peças Usadas | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 3.9 (117 avaliacoes) | Categorias: Loja de autopeças | Endereco: R. Padre Flávio Azambuja, 0 - Alambari, Resende - RJ, 27534-090, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Ebenézer auto peças","NUC x Ebenézer auto peças","+55 24 3359-3866","https://www.google.com/search?q=Eben%C3%A9zer+auto+pe%C3%A7as+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a Ebenézer auto peças e referencia em auto pecas em Resende com 111 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: Ebenézer auto peças | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.7 (111 avaliacoes) | Categorias: Loja de autopeças | Endereco: R. Cantídio Jesuíno da Costa, 61 - Paraíso, Resende - RJ, 27535-330, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Voltaço Auto Peças","NUC x Voltaço Auto Peças","+55 24 3354-4851","https://www.google.com/search?q=Volta%C3%A7o+Auto+Pe%C3%A7as+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a Voltaço Auto Peças e referencia em auto pecas em Resende com 111 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: Voltaço Auto Peças | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.3 (111 avaliacoes) | Categorias: Loja de autopeças | Endereco: Zap ( 24 - 99888.2535 - Manejo, Resende - RJ, 27521-131, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Primus Auto Center","NUC x Primus Auto Center","+55 33557929","https://www.google.com/search?q=Primus+Auto+Center+Resende+instagram","Automotivo - Auto Center","Prospeccao Ativa","Resende","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","Vi que a Primus Auto Center tem nota 4.3 em Resende. Auto centers com boa reputacao online multiplicam o fluxo quando investem em posicionamento digital - clientes buscam no Google antes de levar o carro. Quero mostrar como.","Empresa: Primus Auto Center | Cidade: Resende | Tipo: Auto Center | Nota Google: 4.3 (97 avaliacoes) | Categorias: Oficina mecânica | Endereco: Zap (24 - 93300.5995 - Liberdade, Resende - RJ, 27521-131, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Pimenta Auto Peças","NUC x Pimenta Auto Peças","+55 24 3354-0350","https://www.google.com/search?q=Pimenta+Auto+Pe%C3%A7as+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a Pimenta Auto Peças e referencia em auto pecas em Resende com 88 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: Pimenta Auto Peças | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.7 (88 avaliacoes) | Categorias: Loja de autopeças | Endereco: Av. Dr. Jéfferson G. Bruno, 1590 - Paraíso, Resende - RJ, 27536-015, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Alvorada Auto Peças","NUC x Alvorada Auto Peças","+55 24 3355-0193","https://www.google.com/search?q=Alvorada+Auto+Pe%C3%A7as+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Alvorada Auto Peças tem nota 4.5 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Alvorada Auto Peças | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.5 (82 avaliacoes) | Categorias: Loja de baterias de carro | Endereco: Zap (24 - 93300.5995 - Vila Julieta, Resende - RJ, 27521-072, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Auto Peças Azoberte","NUC x Auto Peças Azoberte","+55 24 99939-2921","https://www.google.com/search?q=Auto+Pe%C3%A7as+Azoberte+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Auto Peças Azoberte tem nota 4.1 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Auto Peças Azoberte | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.1 (80 avaliacoes) | Categorias: Loja de autopeças | Endereco: RUA CORONEL NEI PAULO PANIZUTTI QUADRA B LOTE 51 N 79 - Jardim Alianca, Resende - RJ, 27525-580, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Líder Peças Usadas","NUC x Líder Peças Usadas","+55 24 3354-0322","https://www.google.com/search?q=L%C3%ADder+Pe%C3%A7as+Usadas+Resende+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Resende","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a Líder Peças Usadas e referencia em auto pecas em Resende com 70 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: Líder Peças Usadas | Cidade: Resende | Tipo: Auto Pecas | Nota Google: 4.1 (70 avaliacoes) | Categorias: Loja de autopeças | Endereco: R. Padre Flávio Azambuja, 115 - Cabral, Resende - RJ, 27534-090, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"DIFERENCIAL AUTO CENTER","NUC x DIFERENCIAL AUTO CENTER","+55 24 99957-3260","https://www.google.com/search?q=DIFERENCIAL+AUTO+CENTER+Resende+instagram","Automotivo - Auto Center","Prospeccao Ativa","Resende","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A DIFERENCIAL AUTO CENTER e um auto center bem avaliado em Resende (61 avaliacoes). Auto centers que investem em marketing digital atraem clientes de cidades vizinhas e fidelizam com agendamento online. Quero apresentar como funciona.","Empresa: DIFERENCIAL AUTO CENTER | Cidade: Resende | Tipo: Auto Center | Nota Google: 5.0 (61 avaliacoes) | Categorias: Mecânico | Endereco: R. Padre José Sandrup, 1006 - Vila Julieta, Resende - RJ, 27521-112, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
